Date,Price,Open,High,Low,Vol.,Change %
1-Apr-23,28456.1,28473.70,28795.10,28285.60,38.09K,-0.06%
31-Mar-23,28473.7,28029.30,28646.30,27587.50,98.44K,1.58%
30-Mar-23,28029.5,28350.30,29160.40,27716.70,122.51K,-1.13%
29-Mar-23,28350.4,27262.90,28627.40,27249.80,109.32K,3.99%
28-Mar-23,27262.2,27127.80,27465.00,26665.60,94.16K,0.49%
27-Mar-23,27129.8,27974.80,28023.30,26611.50,107.24K,-3.02%
26-Mar-23,27973.5,27474.90,28153.70,27429.10,60.64K,1.81%
25-Mar-23,27475.6,27462.20,27761.90,27176.70,61.36K,0.05%
24-Mar-23,27462.2,28306.90,28374.50,27026.50,110.36K,-3.00%
23-Mar-23,28310.7,27262.80,28734.10,27144.60,158.46K,3.85%
22-Mar-23,27261.7,28114.20,28760.30,26668.70,262.03K,-3.03%
21-Mar-23,28114,27719.80,28437.80,27350.60,438.78K,1.42%
20-Mar-23,27720.5,27958.90,28457.80,27157.00,503.90K,-0.85%
19-Mar-23,27958.7,26914.50,28347.30,26844.60,393.27K,3.88%
18-Mar-23,26914.5,27391.90,27659.10,26688.70,392.47K,-1.74%
17-Mar-23,27391.8,25004.40,27742.20,24900.10,674.96K,9.55%
16-Mar-23,25004.1,24283.20,25139.00,24147.90,462.58K,2.97%
15-Mar-23,24282.7,24699.60,25108.90,23932.40,614.31K,-1.69%
14-Mar-23,24699.7,24121.50,26365.90,23994.60,753.06K,2.43%
13-Mar-23,24114.4,21994.80,24406.20,21859.60,733.63K,9.64%
12-Mar-23,21994.8,20465.00,22028.60,20294.20,455.69K,7.46%
11-Mar-23,20467.5,20156.50,20669.50,19796.70,453.46K,1.54%
10-Mar-23,20156.7,20362.00,20362.60,19591.80,655.27K,-1.01%
9-Mar-23,20361.8,21710.80,21826.50,20079.60,468.76K,-6.21%
8-Mar-23,21710.8,22197.80,22274.30,21661.30,316.51K,-2.19%
7-Mar-23,22197.8,22410.10,22535.10,21968.60,304.75K,-0.95%
6-Mar-23,22410,22428.20,22595.40,22320.10,215.31K,-0.08%
5-Mar-23,22428.3,22347.10,22636.70,22213.50,160.57K,0.36%
4-Mar-23,22347.1,22354.70,22403.70,22167.40,123.93K,-0.03%
3-Mar-23,22354.4,23465.60,23473.40,22051.90,344.63K,-4.73%
2-Mar-23,23465.4,23642.20,23780.50,23208.70,249.26K,-0.75%
1-Mar-23,23642.2,23130.60,23914.10,23025.30,328.77K,2.21%
28-Feb-23,23130.5,23494.00,23595.00,23033.80,275.10K,-1.55%
27-Feb-23,23494.1,23558.70,23876.20,23166.80,297.65K,-0.27%
26-Feb-23,23558.7,23166.10,23671.80,23066.00,209.12K,1.69%
25-Feb-23,23166.1,23191.30,23215.30,22777.40,198.35K,-0.11%
24-Feb-23,23191.5,23936.40,24123.40,22970.30,367.99K,-3.11%
23-Feb-23,23936.3,24186.60,24590.40,23637.90,417.46K,-1.03%
22-Feb-23,24186.6,24450.70,24474.30,23593.40,400.24K,-1.08%
21-Feb-23,24450.7,24839.50,25236.80,24160.80,395.97K,-1.57%
20-Feb-23,24839.5,24302.80,25085.40,23868.60,363.02K,2.21%
19-Feb-23,24302.9,24631.30,25175.20,24273.70,312.64K,-1.33%
18-Feb-23,24631.4,24573.50,24838.90,24457.00,223.77K,0.24%
